Identifiant du compteur,voie,Identifiant du site de comptage,Nom du site de comptage,Comptage horaire,date,Date d'installation du site de comptage,Lien vers photo du site de comptage,Coordonnées géographiques,id_compteur,nom_compteur,id,sum_counts,installation_date,url_photos_n1,coordinates,counter,photos,test_lien_vers_photos_du_site_de_comptage_,id_photo_1,url_sites,type_dimage,mois_annee_comptage,Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh,id_vehicule,motor,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,vma
100050132-SC,boulevardsaintgermain,100050132.0,243 Boulevard Saint Germain NO-SE,72.0,2019-08-31T17:00:00+00:00,2018-12-13,https://www.eco-visio.net/Photos/100050132/15765763964200.jpg,"48.86179,2.32014",,,,,,,,,,,,,,,201900039265,2.0,1,,0.0,1.0,0.0,7.0,A01,138 232 263,5.0,2019,8,31,17:37,1,2,2,1.0,6.0,75105,BOULEVARD SAINT GERMAIN,,"48,8513880","2,3431830",75,4,0.0,,1.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100042374-110042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,85.0,2019-07-11T08:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900053881,2.0,1,,0.0,2.0,3.0,15.0,B01,138 204 698,5.0,2019,7,11,08:30,1,2,4,1.0,3.0,75116,VOIE GEORGES POMPIDOU,,"48,8414330","2,2691570",75,4,0.0,,2.0,3.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100042374-109042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,200.0,2019-07-11T08:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900053881,2.0,1,,0.0,2.0,3.0,15.0,B01,138 204 698,5.0,2019,7,11,08:30,1,2,4,1.0,3.0,75116,VOIE GEORGES POMPIDOU,,"48,8414330","2,2691570",75,4,0.0,,2.0,3.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,152.0,2019-03-13T20:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900021893,2.0,1,,0.0,2.0,2.0,1.0,A01,138 265 400,5.0,2019,3,13,20:15,5,2,2,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8597500","2,3768410",75,4,0.0,,2.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,103.0,2019-03-13T20:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900021893,2.0,1,,0.0,2.0,2.0,1.0,A01,138 265 400,5.0,2019,3,13,20:15,5,2,2,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8597500","2,3768410",75,4,0.0,,2.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,311.0,2019-06-04T09:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900018000,2.0,1,,0.0,1.0,1.0,21.0,A01,138 272 758,5.0,2019,6,4,09:10,1,2,2,2.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8651810","2,3677300",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,152.0,2019-06-04T09:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900018000,2.0,1,,0.0,1.0,1.0,21.0,A01,138 272 758,5.0,2019,6,4,09:10,1,2,2,2.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8651810","2,3677300",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100042374-109042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,85.0,2019-09-28T18:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900044714,1.0,1,,0.0,2.0,2.0,2.0,B01,138 222 032,5.0,2019,9,28,18:30,1,2,1,1.0,2.0,75116,VOIE GEORGES POMPIDOU,,"48,8492730","2,2767820",75,4,0.0,,1.0,4.0,0,0,-1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100042374-110042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,40.0,2019-09-28T18:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900044714,1.0,1,,0.0,2.0,2.0,2.0,B01,138 222 032,5.0,2019,9,28,18:30,1,2,1,1.0,2.0,75116,VOIE GEORGES POMPIDOU,,"48,8492730","2,2767820",75,4,0.0,,1.0,4.0,0,0,-1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100036719-103036719,quaidelhoteldeville,100036719.0,18 quai de l'hotel de ville,16.0,2019-10-27T01:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036719/14997911938171.jpg,"48.85372,2.35702",,,,,,,,,,,,,,,201900053551,2.0,1,,0.0,2.0,1.0,15.0,A01,138 205 359,5.0,2019,10,27,01:20,5,2,3,1.0,3.0,75104,QUAI DE L HOTEL DE VILLE,,"48,8553251","2,3527582",75,4,0.0,,2.0,2.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100036719-104036719,quaidelhoteldeville,100036719.0,18 quai de l'hotel de ville,14.0,2019-10-27T01:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036719/14997911938171.jpg,"48.85372,2.35702",,,,,,,,,,,,,,,201900053551,2.0,1,,0.0,2.0,1.0,15.0,A01,138 205 359,5.0,2019,10,27,01:20,5,2,3,1.0,3.0,75104,QUAI DE L HOTEL DE VILLE,,"48,8553251","2,3527582",75,4,0.0,,2.0,2.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,223.0,2019-10-18T18:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900010081,2.0,1,,0.0,2.0,1.0,1.0,B01,138 287 690,5.0,2019,10,18,18:30,2,2,1,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8550120","2,3848330",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,30.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,375.0,2019-10-18T18:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900010081,2.0,1,,0.0,2.0,1.0,1.0,B01,138 287 690,5.0,2019,10,18,18:30,2,2,1,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8550120","2,3848330",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,30.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,169.0,2019-11-06T18:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900042394,2.0,1,,0.0,1.0,0.0,1.0,A01,138 226 417,5.0,2019,11,6,18:05,5,2,3,2.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8610043","2,3748363",75,4,0.0,,2.0,4.0,0,0,1.0,1.0,1.0,,,2.0,0.0,5.0,,50.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,364.0,2019-11-06T18:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900042394,2.0,1,,0.0,1.0,0.0,1.0,A01,138 226 417,5.0,2019,11,6,18:05,5,2,3,2.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8610043","2,3748363",75,4,0.0,,2.0,4.0,0,0,1.0,1.0,1.0,,,2.0,0.0,5.0,,50.0
100044495-SC,avenuedelagrandearmee,100044495.0,7 Avenue de la Grande Armée NO-SE,126.0,2019-09-11T19:00:00+00:00,2018-07-27,https://www.eco-visio.net/Photos/100044495/15302615766480.jpg,"48.87451,2.29215",,,,,,,,,,,,,,,201900018988,1.0,1,,0.0,2.0,1.0,5.0,B01,138 270 957,5.0,2019,9,11,19:50,5,2,2,1.0,3.0,75117,AVENUE DE LA GRANDE ARMEE,,"48,8746070","2,2931130",75,4,0.0,,2.0,8.0,0,0,0.0,2.0,1.0,,,1.0,5.0,1.0,,50.0
100044494-SC,avenuedelagrandearmee,100044494.0,10  avenue de la Grande Armée SE-NO,62.0,2019-09-11T19:00:00+00:00,2018-07-27,https://www.eco-visio.net/Photos/100044494/15765753078770.jpg,"48.874716,2.292439",,,,,,,,,,,,,,,201900018988,1.0,1,,0.0,2.0,1.0,5.0,B01,138 270 957,5.0,2019,9,11,19:50,5,2,2,1.0,3.0,75117,AVENUE DE LA GRANDE ARMEE,,"48,8746070","2,2931130",75,4,0.0,,2.0,8.0,0,0,0.0,2.0,1.0,,,1.0,5.0,1.0,,50.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,335.0,2019-03-21T08:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900008095,2.0,1,,0.0,0.0,0.0,21.0,A01,138 291 336,5.0,2019,3,21,08:00,1,2,3,1.0,6.0,75110,BOULEVARD DE MAGENTA,,"48,8806250","2,3521530",75,4,0.0,,2.0,4.0,0,0,0.0,2.0,1.0,,,1.0,0.0,1.0,,50.0
100050132-SC,boulevardsaintgermain,100050132.0,243 Boulevard Saint Germain NO-SE,68.0,2019-04-17T12:00:00+00:00,2018-12-13,https://www.eco-visio.net/Photos/100050132/15765763964200.jpg,"48.86179,2.32014",,,,,,,,,,,,,,,201900021281,2.0,1,,0.0,2.0,0.0,7.0,B01,138 266 592,5.0,2019,4,17,12:30,1,2,2,1.0,3.0,75106,BOULEVARD SAINT GERMAIN,,"48,8516760","2,3420380",75,4,0.0,,1.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,6.0,,50.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,105.0,2019-02-05T16:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900013659,1.0,1,,0.0,2.0,5.0,1.0,B01,138 280 987,5.0,2019,2,5,16:00,1,2,1,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8513220","2,3909920",75,4,0.0,,2.0,2.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,78.0,2019-02-05T16:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900013659,1.0,1,,0.0,2.0,5.0,1.0,B01,138 280 987,5.0,2019,2,5,16:00,1,2,1,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8513220","2,3909920",75,4,0.0,,2.0,2.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100056038-SC,avenuedeschampselysees,100056038.0,44 avenue des Champs Elysées SE-NO,66.0,2019-12-30T14:00:00+00:00,2019-10-30,https://www.eco-visio.net/Photos/100056038/15724491524180.jpg,"48.869873,2.307419",,,,,,,,,,,,,,,201900014912,2.0,1,,0.0,2.0,8.0,1.0,B01,138 278 578,5.0,2019,12,30,14:12,1,2,7,1.0,3.0,75108,PLACE CLEMENCEAU,,"48,8677870","2,3138510",75,4,0.0,,2.0,8.0,0,0,-1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100056042-SC,avenuedeschampselysees,100056042.0,33 avenue des Champs Elysées NO-SE,106.0,2019-12-30T14:00:00+00:00,2019-10-30,https://www.eco-visio.net/Photos/100056042/15724494591310.jpg,"48.869831,2.307076",,,,,,,,,,,,,,,201900014912,2.0,1,,0.0,2.0,8.0,1.0,B01,138 278 578,5.0,2019,12,30,14:12,1,2,7,1.0,3.0,75108,PLACE CLEMENCEAU,,"48,8677870","2,3138510",75,4,0.0,,2.0,8.0,0,0,-1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100036718-104036718,quaifrancoismauriac,100036718.0,39 Quai François Mauriac,83.0,2019-02-11T19:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036718/14997911465211.jpg,"48.8344028,2.376941",,,,,,,,,,,,,,,201900006172,2.0,1,,0.0,2.0,8.0,1.0,B01,138 294 922,5.0,2019,2,11,19:00,5,2,3,1.0,3.0,75113,QUAI FRANCOIS MAURIAC,,"48,8329760","2,3787690",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100036718-103036718,quaifrancoismauriac,100036718.0,39 Quai François Mauriac,83.0,2019-02-11T19:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036718/14997911465211.jpg,"48.8344028,2.376941",,,,,,,,,,,,,,,201900006172,2.0,1,,0.0,2.0,8.0,1.0,B01,138 294 922,5.0,2019,2,11,19:00,5,2,3,1.0,3.0,75113,QUAI FRANCOIS MAURIAC,,"48,8329760","2,3787690",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100047547-104047547,ruejuliabartet,100047547.0,6 rue Julia Bartet,30.0,2019-03-03T18:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047547/15433319774680.jpg,"48.82648,2.303149",,,,,,,,,,,,,,,201900033945,1.0,1,,0.0,2.0,2.0,17.0,A01,138 242 411,5.0,2019,3,3,18:05,2,2,2,1.0,3.0,75114,RUE JULIA BARTET,,"48,8254580","2,3023080",75,4,0.0,,2.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100047547-103047547,ruejuliabartet,100047547.0,6 rue Julia Bartet,16.0,2019-03-03T18:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047547/15433319774680.jpg,"48.82648,2.303149",,,,,,,,,,,,,,,201900033945,1.0,1,,0.0,2.0,2.0,17.0,A01,138 242 411,5.0,2019,3,3,18:05,2,2,2,1.0,3.0,75114,RUE JULIA BARTET,,"48,8254580","2,3023080",75,4,0.0,,2.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,118.0,2019-06-26T12:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900030118,1.0,1,,0.0,2.0,1.0,17.0,A01,138 249 672,5.0,2019,6,26,12:45,1,2,1,2.0,1.0,75111,BOULEVARD VOLTAIRE,,"48,8614040","2,3740930",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,143.0,2019-06-26T12:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900030118,1.0,1,,0.0,2.0,1.0,17.0,A01,138 249 672,5.0,2019,6,26,12:45,1,2,1,2.0,1.0,75111,BOULEVARD VOLTAIRE,,"48,8614040","2,3740930",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100036718-104036718,quaifrancoismauriac,100036718.0,39 Quai François Mauriac,46.0,2019-12-18T07:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036718/14997911465211.jpg,"48.8344028,2.376941",,,,,,,,,,,,,,,201900029520,2.0,1,,0.0,2.0,2.0,1.0,B01,138 250 763,5.0,2019,12,18,07:50,1,2,3,8.0,3.0,75113,QUAI FRANCOIS MAURIAC,,"48,8356830","2,3753800",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100036718-103036718,quaifrancoismauriac,100036718.0,39 Quai François Mauriac,157.0,2019-12-18T07:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036718/14997911465211.jpg,"48.8344028,2.376941",,,,,,,,,,,,,,,201900029520,2.0,1,,0.0,2.0,2.0,1.0,B01,138 250 763,5.0,2019,12,18,07:50,1,2,3,8.0,3.0,75113,QUAI FRANCOIS MAURIAC,,"48,8356830","2,3753800",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100036719-103036719,quaidelhoteldeville,100036719.0,18 quai de l'hotel de ville,70.0,2019-09-06T17:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036719/14997911938171.jpg,"48.85372,2.35702",,,,,,,,,,,,,,,201900026421,0.0,1,,0.0,2.0,5.0,19.0,Z01,138 256 569,5.0,2019,9,6,17:20,1,2,2,1.0,6.0,75104,QUAI DE L HOTEL DE VILLE,,"48,8543710","2,3549358",75,4,0.0,,2.0,4.0,0,0,0.0,1.0,1.0,,,1.0,5.0,1.0,,50.0
100036719-104036719,quaidelhoteldeville,100036719.0,18 quai de l'hotel de ville,84.0,2019-09-06T17:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036719/14997911938171.jpg,"48.85372,2.35702",,,,,,,,,,,,,,,201900026421,0.0,1,,0.0,2.0,5.0,19.0,Z01,138 256 569,5.0,2019,9,6,17:20,1,2,2,1.0,6.0,75104,QUAI DE L HOTEL DE VILLE,,"48,8543710","2,3549358",75,4,0.0,,2.0,4.0,0,0,0.0,1.0,1.0,,,1.0,5.0,1.0,,50.0
100006300-SC,avenuedaumesnil,100006300.0,135 Avenue Daumesnil SE-NO,0.0,2019-12-19T10:00:00+00:00,2013-01-19,https://www.eco-visio.net/Photos/100006300/15765762690330.jpg,"48.843435,2.383378",,,,,,,,,,,,,,,201900027676,1.0,1,,0.0,2.0,1.0,13.0,B01,138 254 264,5.0,2019,12,19,10:25,1,2,3,2.0,3.0,75112,AVENUE DAUMESNIL,,"48,8384490","2,3986830",75,4,0.0,,2.0,2.0,0,0,1.0,2.0,1.0,,,2.0,0.0,1.0,,50.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,120.0,2019-02-18T12:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900053280,2.0,1,,0.0,2.0,3.0,10.0,A01,138 205 863,5.0,2019,2,18,12:15,1,2,1,1.0,3.0,75110,BOULEVARD DE MAGENTA,,"48,8728600","2,3591240",75,4,0.0,,2.0,6.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100036719-104036719,quaidelhoteldeville,100036719.0,18 quai de l'hotel de ville,66.0,2019-10-25T17:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036719/14997911938171.jpg,"48.85372,2.35702",,,,,,,,,,,,,,,201900057282,1.0,1,,0.0,2.0,8.0,19.0,A01,138 198 468,5.0,2019,10,25,17:20,1,2,2,8.0,3.0,75104,QUAI DE L HOTEL DE VILLE,,"48,8543721","2,3549423",75,4,0.0,,2.0,5.0,0,0,-1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100036719-103036719,quaidelhoteldeville,100036719.0,18 quai de l'hotel de ville,76.0,2019-10-25T17:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036719/14997911938171.jpg,"48.85372,2.35702",,,,,,,,,,,,,,,201900057282,1.0,1,,0.0,2.0,8.0,19.0,A01,138 198 468,5.0,2019,10,25,17:20,1,2,2,8.0,3.0,75104,QUAI DE L HOTEL DE VILLE,,"48,8543721","2,3549423",75,4,0.0,,2.0,5.0,0,0,-1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100042374-110042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,136.0,2019-07-09T18:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900057163,1.0,1,,0.0,1.0,1.0,1.0,A01,138 198 677,5.0,2019,7,9,18:20,1,2,4,1.0,6.0,75104,VOIE GEORGES POMPIDOU,,"48,8536230","2,3562980",75,4,0.0,,-1.0,1.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,10.0
100042374-109042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,219.0,2019-07-09T18:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900057163,1.0,1,,0.0,1.0,1.0,1.0,A01,138 198 677,5.0,2019,7,9,18:20,1,2,4,1.0,6.0,75104,VOIE GEORGES POMPIDOU,,"48,8536230","2,3562980",75,4,0.0,,-1.0,1.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,10.0
100042374-109042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,117.0,2019-12-21T11:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900025810,1.0,1,,12.0,0.0,7.0,16.0,A01,138 257 737,5.0,2019,12,21,11:35,1,2,4,1.0,6.0,75104,VOIE GEORGES POMPIDOU,,"48,8510483","2,3611412",75,4,0.0,,2.0,1.0,0,0,-1.0,1.0,1.0,,,1.0,6.0,1.0,,30.0
100042374-110042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,24.0,2019-12-21T11:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900025810,1.0,1,,12.0,0.0,7.0,16.0,A01,138 257 737,5.0,2019,12,21,11:35,1,2,4,1.0,6.0,75104,VOIE GEORGES POMPIDOU,,"48,8510483","2,3611412",75,4,0.0,,2.0,1.0,0,0,-1.0,1.0,1.0,,,1.0,6.0,1.0,,30.0
