Identifiant du compteur,voie,Identifiant du site de comptage,Nom du site de comptage,Comptage horaire,date,Date d'installation du site de comptage,Lien vers photo du site de comptage,Coordonnées géographiques,id_compteur,nom_compteur,id,sum_counts,installation_date,url_photos_n1,coordinates,counter,photos,test_lien_vers_photos_du_site_de_comptage_,id_photo_1,url_sites,type_dimage,mois_annee_comptage,Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh,id_vehicule,motor,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,vma
100042374-110042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,6.0,2019-07-05T02:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900010857,1.0,1,,0.0,2.0,1.0,1.0,B01,138 286 305,5.0,2019,7,5,02:00,4,2,1,1.0,1.0,75116,VOIE GEORGES POMPIDOU,,"48,8514770","2,2798320",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,20.0
100042374-109042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,3.0,2019-07-05T02:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900010857,1.0,1,,0.0,2.0,1.0,1.0,B01,138 286 305,5.0,2019,7,5,02:00,4,2,1,1.0,1.0,75116,VOIE GEORGES POMPIDOU,,"48,8514770","2,2798320",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,20.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,232.0,2019-04-30T08:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900040097,2.0,1,,1.0,0.0,8.0,17.0,A01,138 230 724,5.0,2019,4,30,08:35,1,2,1,1.0,6.0,75110,BOULEVARD DE MAGENTA,,"48,8781170","2,3544220",75,4,0.0,,2.0,6.0,0,0,3.0,2.0,1.0,,,1.0,0.0,5.0,,50.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,139.0,2019-07-06T14:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900010874,1.0,1,,0.0,2.0,8.0,19.0,B01,138 286 273,5.0,2019,7,6,14:50,1,2,5,1.0,3.0,75110,BOULEVARD DE MAGENTA,,"48,8785250","2,3540400",75,4,0.0,,2.0,4.0,1,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100006300-SC,avenuedaumesnil,100006300.0,135 Avenue Daumesnil SE-NO,70.0,2019-01-16T13:00:00+00:00,2013-01-19,https://www.eco-visio.net/Photos/100006300/15765762690330.jpg,"48.843435,2.383378",,,,,,,,,,,,,,,201900015442,1.0,1,,0.0,2.0,1.0,1.0,B01,138 277 611,5.0,2019,1,16,13:20,1,2,1,1.0,3.0,75112,AVENUE DAUMESNIL,,"48,8425960","2,3850760",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,9.0,1.0,,50.0
100006300-SC,avenuedaumesnil,100006300.0,135 Avenue Daumesnil SE-NO,49.0,2019-04-04T15:00:00+00:00,2013-01-19,https://www.eco-visio.net/Photos/100006300/15765762690330.jpg,"48.843435,2.383378",,,,,,,,,,,,,,,201900041335,2.0,1,,0.0,1.0,0.0,25.0,Z01,138 228 470,5.0,2019,4,4,15:20,1,2,2,1.0,6.0,75112,AVENUE DAUMESNIL,,"48,8371840","2,4021230",75,4,0.0,,2.0,0.0,0,0,0.0,2.0,1.0,,,1.0,0.0,4.0,,50.0
100047539-SC,boulevardaugusteblanqui,100047539.0,21 Boulevard Auguste Blanqui SO-NE,29.0,2019-07-10T07:00:00+00:00,2018-12-05,https://www.eco-visio.net/Photos/100047539/15765761696560.jpg,"48.830449,2.353199",,,,,,,,,,,,,,,201900057151,1.0,1,,0.0,2.0,0.0,1.0,B01,138 198 698,5.0,2019,7,10,07:30,1,2,2,1.0,3.0,75113,BOULEVARD AUGUSTE BLANQUI,,"48,8306490","2,3526430",75,4,0.0,,1.0,2.0,0,0,1.0,2.0,1.0,,,1.0,0.0,5.0,,50.0
100056032-SC,avenuedeflandre,100056032.0,87 Avenue de Flandre NE-SO,50.0,2019-12-07T23:00:00+00:00,2019-11-05,https://www.eco-visio.net/Photos/100056032/15729449148520.jpg,"48.88926,2.37472",,,,,,,,,,,,,,,201900045488,1.0,1,,0.0,2.0,8.0,1.0,B01,138 220 554,5.0,2019,12,7,23:55,5,2,2,1.0,3.0,75119,AVENUE DE FLANDRE,,"48,8906240","2,3768500",75,4,0.0,,1.0,2.0,92,0,3.0,1.0,1.0,,,1.0,0.0,6.0,,50.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,181.0,2019-05-27T20:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900040086,2.0,1,,0.0,2.0,1.0,1.0,B01,138 230 745,5.0,2019,5,27,20:30,1,2,3,1.0,3.0,75110,BOULEVARD DE MAGENTA,,"48,8760390","2,3562880",75,4,0.0,,2.0,4.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100047533-SC,boulevarddemagenta,100047533.0,89 boulevard de Magenta NO-SE,401.0,2019-10-14T09:00:00+00:00,2018-11-28,https://www.eco-visio.net/Photos/100047533/15434006878980.jpg,"48.877686,2.3544712",,,,,,,,,,,,,,,201900017322,2.0,1,,0.0,2.0,4.0,1.0,B01,138 274 016,5.0,2019,10,14,09:10,1,2,1,1.0,3.0,75110,BOULEVARD DE MAGENTA,,"48,8821744","2,3507755",75,4,0.0,,1.0,1.0,0,0,1.0,2.0,1.0,,,1.0,0.0,5.0,,20.0
100003096-353242251,avenuedenfertrochereau,100003096.0,97 avenue Denfert Rochereau,13.0,2020-07-24T07:00:00+00:00,2012-02-22,https://www.eco-visio.net/Photos/100003096/15765766519670.jpg,"48.83511,2.33338",,,,,,,,,,,,,,,202000047184,1.0,1,,0.0,2.0,3.0,1.0,Y01,154 659 340,5.0,2020,7,24,07:40,1,2,3,7.0,3.0,17300,Avenue Denfert Rochereau,,"46,1651880"," -1,1927400",17,4,0.0,,1.0,1.0,0,0,1.0,1.0,2.0,, -1,1.0,9.0,1.0,,50.0
100003098-SC,avenuedenfertrochereau,100003098.0,106 avenue Denfert Rochereau NE-SO,30.0,2020-07-24T07:00:00+00:00,2012-02-22,https://www.eco-visio.net/Photos/100003098/13305145395420.jpg,"48.83521,2.33307",,,,,,,,,,,,,,,202000047184,1.0,1,,0.0,2.0,3.0,1.0,Y01,154 659 340,5.0,2020,7,24,07:40,1,2,3,7.0,3.0,17300,Avenue Denfert Rochereau,,"46,1651880"," -1,1927400",17,4,0.0,,1.0,1.0,0,0,1.0,1.0,2.0,, -1,1.0,9.0,1.0,,50.0
,ruelafayette,,,,2021-12-28T19:00:00+00:00,,,,100003097-101003097,105 rue La Fayette E-O,100003097.0,56.0,2012-02-13,https://filer.eco-counter-tools.com/file/0f/52c5654ce2fbc1fd743f60baa599fb356eb4c5c14d0ac2d60014b2b263aa880f/Y2H21100756_20211019134520.jpg,"48.87773,2.3506",Y2H21100756,https://filer.eco-counter-tools.com/file/0f/52c5654ce2fbc1fd743f60baa599fb356eb4c5c14d0ac2d60014b2b263aa880f/Y2H21100756_20211019134520.jpg/https://filer.eco-counter-tools.com/file/fb/bdbed9c19a1427089cd951893f252c5eb961b92f6d7321e83d1347a089b687fb/Q15G5037467_20210824141241.jpg/https://filer.eco-counter-tools.com/file/68/9650354d09a0fcff58ef31b2d8279e7c335dc014659c68a392523406e62d6f68/Q15G5037467_20210811135912.jpg/https://filer.eco-counter-tools.com/file/23/32e30d253ae92b0a13d6cc30962f6ea259759be8a8e6d00568418ae4a8814d23/15765755175990.jpg,https://filer.eco-counter-tools.com/file/0f/52c5654ce2fbc1fd743f60baa599fb356eb4c5c14d0ac2d60014b2b263aa880f/Y2H21100756_20211019134520.jpg,https:,https://www.eco-visio.net/Photos/100003097,jpg,2021-12,202100001063,1.0,1,,0.0,2.0,7.0,1.0,B01,199 864,5.0,2021,12,28,19:52,5,2,2,1.0,3.0,75110,RUE LA FAYETTE,,"48,8813300000","2,3647220000",75,4,0.0,,2.0,2.0,(1),(1),0.0,1.0,1.0,, -1,2.0,0.0,1.0,,30.0
,ruelafayette,,,,2021-12-28T19:00:00+00:00,,,,100003099-353242239,100 rue La Fayette O-E,100003099.0,0.0,2012-02-22,https://filer.eco-counter-tools.com/file/cb/e5f8d6dda3ff1225c5dafadfdb3178ea46c00856a1fddb53aa3009759aa8d7cb/13305145634060.jpg,"48.87813,2.3497",Y2H21100755,https://filer.eco-counter-tools.com/file/cb/e5f8d6dda3ff1225c5dafadfdb3178ea46c00856a1fddb53aa3009759aa8d7cb/13305145634060.jpg/https://filer.eco-counter-tools.com/file/4e/6cc81a308c3492c1ef051cae7b7f960f8bd564a7cb1de3eef5bcf0bc3c80e84e/Y2111121727_20210811134729.jpg/https://filer.eco-counter-tools.com/file/7f/460a3a17ae617f660ad74962e96c796361b2f78c773920f318b63366c7c84f7f/Y2H21100755_20211019140204.jpg,https://filer.eco-counter-tools.com/file/cb/e5f8d6dda3ff1225c5dafadfdb3178ea46c00856a1fddb53aa3009759aa8d7cb/13305145634060.jpg,https:,https://www.eco-visio.net/Photos/100003099,jpg,2021-12,202100001063,1.0,1,,0.0,2.0,7.0,1.0,B01,199 864,5.0,2021,12,28,19:52,5,2,2,1.0,3.0,75110,RUE LA FAYETTE,,"48,8813300000","2,3647220000",75,4,0.0,,2.0,2.0,(1),(1),0.0,1.0,1.0,, -1,2.0,0.0,1.0,,30.0
,avenuedaumesnil,,,,2021-12-04T15:00:00+00:00,,,,100006300-101006300,135 avenue Daumesnil SE-NO,100006300.0,99.0,2013-01-19,https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg,"48.843435,2.383378",X2H18086316,https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg/https://filer.eco-counter-tools.com/file/33/72900abae7cbd8648f613c39f98f2766804530fc2fd9004fcca1ac282a9b5c33/X2H18086316_20220803114717.jpg/https://filer.eco-counter-tools.com/file/97/3f31a803a3d2e6dc1b985b032528ea836d3e53685058af9f542c006a7de4a197/15765762690330.jpg/https://filer.eco-counter-tools.com/file/e1/6ef39ee97d7f723c14b8fe9ec91840266b3f3add70e0a817bafd66adc553c9e1/15809064565060.jpg,https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg,https:,https://www.eco-visio.net/Photos/100006300,jpg,2021-12,202100004815,1.0,1,,0.0,2.0,8.0,15.0,B01,193 176,0.0,2021,12,4,15:23,1,2,3,1.0,3.0,75112,AVENUE DAUMESNIL,,"48,8399510000","2,4321490000",75,4,0.0,,2.0,2.0,(1),(1),0.0,1.0,1.0,, -1,2.0,0.0,1.0,,30.0
,avenuedaumesnil,,,,2021-12-22T12:00:00+00:00,,,,100006300-101006300,135 avenue Daumesnil SE-NO,100006300.0,44.0,2013-01-19,https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg,"48.843435,2.383378",X2H18086316,https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg/https://filer.eco-counter-tools.com/file/33/72900abae7cbd8648f613c39f98f2766804530fc2fd9004fcca1ac282a9b5c33/X2H18086316_20220803114717.jpg/https://filer.eco-counter-tools.com/file/97/3f31a803a3d2e6dc1b985b032528ea836d3e53685058af9f542c006a7de4a197/15765762690330.jpg/https://filer.eco-counter-tools.com/file/e1/6ef39ee97d7f723c14b8fe9ec91840266b3f3add70e0a817bafd66adc553c9e1/15809064565060.jpg,https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg,https:,https://www.eco-visio.net/Photos/100006300,jpg,2021-12,202100001746,2.0,1,,0.0,2.0,2.0,1.0,B01,198 666,5.0,2021,12,22,12:20,1,2,2,1.0,3.0,75112,AVENUE DAUMESNIL,,"48,8442760000","2,3815810000",75,4,0.0,,2.0,4.0,(1),(1),1.0,1.0,1.0,, -1,1.0,-1.0,5.0,,30.0
,voiegeorgespompidou,,,,2021-12-06T08:00:00+00:00,,,,100042374-110042374,Voie Georges Pompidou NE-SO,100042374.0,98.0,2017-12-15,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg,"48.84837,2.27596",Y2H21025335,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg/https://filer.eco-counter-tools.com/file/68/1dce0451d633e7c432c030664bb1dc9db8403605258bb6cfbb9e76fb9e5d2668/15172173001793.jpg/https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png?filename=15374574611960.png/https://filer.eco-counter-tools.com/file/3c/2a10997edb70e56a49b040c230d44ab3c560394a4b3fcedb73c8664ffaef963c/15765772112340.jpg/https://filer.eco-counter-tools.com/file/dc/ca258975923935a97c60c5ff55bcade8612078a737101f80ba28995f29f01cdc/Y2H21025335_20220802152245.jpg/https://filer.eco-counter-tools.com/file/81/3fa335611bc26cf7cf2ec3822d0618d1ec999581b67ea0e1befd6315ca0a1481/Y2H21025335_20210330155535.jpg/https://filer.eco-counter-tools.com/file/87/8c6aaf39f1e0063e0fc5aa5c3aa7c0df859d6fed1a89cf863360a16969242e87/Y2H21025335_20210330155549.jpg,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg,https:,https://www.eco-visio.net/Photos/100042374,jpg,2021-12,202100004397,1.0,1,,0.0,2.0,7.0,17.0,A01,193 895,5.0,2021,12,6,08:40,1,2,1,1.0,3.0,75116,VOIE GEORGES POMPIDOU,,"48,8567710000","2,2871000000",75,4,0.0,,2.0,3.0,(1),(1),1.0,1.0,1.0,, -1,3.0,-1.0,5.0,,30.0
,voiegeorgespompidou,,,,2021-12-06T08:00:00+00:00,,,,100042374-110042374,Voie Georges Pompidou NE-SO,100042374.0,98.0,2017-12-15,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg,"48.84837,2.27596",Y2H21025335,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg/https://filer.eco-counter-tools.com/file/68/1dce0451d633e7c432c030664bb1dc9db8403605258bb6cfbb9e76fb9e5d2668/15172173001793.jpg/https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png?filename=15374574611960.png/https://filer.eco-counter-tools.com/file/3c/2a10997edb70e56a49b040c230d44ab3c560394a4b3fcedb73c8664ffaef963c/15765772112340.jpg/https://filer.eco-counter-tools.com/file/dc/ca258975923935a97c60c5ff55bcade8612078a737101f80ba28995f29f01cdc/Y2H21025335_20220802152245.jpg/https://filer.eco-counter-tools.com/file/81/3fa335611bc26cf7cf2ec3822d0618d1ec999581b67ea0e1befd6315ca0a1481/Y2H21025335_20210330155535.jpg/https://filer.eco-counter-tools.com/file/87/8c6aaf39f1e0063e0fc5aa5c3aa7c0df859d6fed1a89cf863360a16969242e87/Y2H21025335_20210330155549.jpg,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg,https:,https://www.eco-visio.net/Photos/100042374,jpg,2021-12,202100004397,1.0,1,,0.0,2.0,8.0,13.0,B01,193 896,5.0,2021,12,6,08:40,1,2,1,1.0,3.0,75116,VOIE GEORGES POMPIDOU,,"48,8567710000","2,2871000000",75,4,0.0,,2.0,3.0,(1),(1),1.0,1.0,1.0,, -1,3.0,-1.0,5.0,,30.0
,voiegeorgespompidou,,,,2021-12-06T08:00:00+00:00,,,,100042374-109042374,Voie Georges Pompidou SO-NE,100042374.0,241.0,2017-12-15,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg,"48.84837,2.27596",Y2H21025335,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg/https://filer.eco-counter-tools.com/file/68/1dce0451d633e7c432c030664bb1dc9db8403605258bb6cfbb9e76fb9e5d2668/15172173001793.jpg/https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png?filename=15374574611960.png/https://filer.eco-counter-tools.com/file/3c/2a10997edb70e56a49b040c230d44ab3c560394a4b3fcedb73c8664ffaef963c/15765772112340.jpg/https://filer.eco-counter-tools.com/file/dc/ca258975923935a97c60c5ff55bcade8612078a737101f80ba28995f29f01cdc/Y2H21025335_20220802152245.jpg/https://filer.eco-counter-tools.com/file/81/3fa335611bc26cf7cf2ec3822d0618d1ec999581b67ea0e1befd6315ca0a1481/Y2H21025335_20210330155535.jpg/https://filer.eco-counter-tools.com/file/87/8c6aaf39f1e0063e0fc5aa5c3aa7c0df859d6fed1a89cf863360a16969242e87/Y2H21025335_20210330155549.jpg,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg,https:,https://www.eco-visio.net/Photos/100042374,jpg,2021-12,202100004397,1.0,1,,0.0,2.0,7.0,17.0,A01,193 895,5.0,2021,12,6,08:40,1,2,1,1.0,3.0,75116,VOIE GEORGES POMPIDOU,,"48,8567710000","2,2871000000",75,4,0.0,,2.0,3.0,(1),(1),1.0,1.0,1.0,, -1,3.0,-1.0,5.0,,30.0
,voiegeorgespompidou,,,,2021-12-06T08:00:00+00:00,,,,100042374-109042374,Voie Georges Pompidou SO-NE,100042374.0,241.0,2017-12-15,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg,"48.84837,2.27596",Y2H21025335,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg/https://filer.eco-counter-tools.com/file/68/1dce0451d633e7c432c030664bb1dc9db8403605258bb6cfbb9e76fb9e5d2668/15172173001793.jpg/https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png?filename=15374574611960.png/https://filer.eco-counter-tools.com/file/3c/2a10997edb70e56a49b040c230d44ab3c560394a4b3fcedb73c8664ffaef963c/15765772112340.jpg/https://filer.eco-counter-tools.com/file/dc/ca258975923935a97c60c5ff55bcade8612078a737101f80ba28995f29f01cdc/Y2H21025335_20220802152245.jpg/https://filer.eco-counter-tools.com/file/81/3fa335611bc26cf7cf2ec3822d0618d1ec999581b67ea0e1befd6315ca0a1481/Y2H21025335_20210330155535.jpg/https://filer.eco-counter-tools.com/file/87/8c6aaf39f1e0063e0fc5aa5c3aa7c0df859d6fed1a89cf863360a16969242e87/Y2H21025335_20210330155549.jpg,https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg,https:,https://www.eco-visio.net/Photos/100042374,jpg,2021-12,202100004397,1.0,1,,0.0,2.0,8.0,13.0,B01,193 896,5.0,2021,12,6,08:40,1,2,1,1.0,3.0,75116,VOIE GEORGES POMPIDOU,,"48,8567710000","2,2871000000",75,4,0.0,,2.0,3.0,(1),(1),1.0,1.0,1.0,, -1,3.0,-1.0,5.0,,30.0
