Identifiant du compteur,voie,Identifiant du site de comptage,Nom du site de comptage,Comptage horaire,date,Date d'installation du site de comptage,Lien vers photo du site de comptage,Coordonnées géographiques,id_compteur,nom_compteur,id,sum_counts,installation_date,url_photos_n1,coordinates,counter,photos,test_lien_vers_photos_du_site_de_comptage_,id_photo_1,url_sites,type_dimage,mois_annee_comptage,Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh,id_vehicule,motor,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,vma
,boulevardvoltaire,,,,2021-12-16T00:00:00+00:00,,,,100044493-101044493,67 boulevard Voltaire SE-NO,100044493.0,31.0,2018-06-27,https://filer.eco-counter-tools.com/file/c2/fab6a7934a6f5d472a1b4e7f6c68552eca77bc5ac6773eb9472e307729be76c2/15302602919700.jpg,"48.86149,2.37376",Y2H18034809,https://filer.eco-counter-tools.com/file/c2/fab6a7934a6f5d472a1b4e7f6c68552eca77bc5ac6773eb9472e307729be76c2/15302602919700.jpg/https://filer.eco-counter-tools.com/file/7d/ade19198856cd42d7e8ade9fdaa1f83dc9a9df77d26e62637f405c86012c3e7d/15978320854910.jpg/https://filer.eco-counter-tools.com/file/66/735aaf617596de01fcb9fa7abcbdd64ce1673184d31338359bce5ba4d25bc366/15718231423950.jpg/https://filer.eco-counter-tools.com/file/68/d5e7b51b0132bb5f130ad0366783dc2bb3df77f360556a769d0815cf109a4968/Y2H18034809_20200819121429.jpg/https://filer.eco-counter-tools.com/file/76/f5ac337e501a805dd5a6b639c96e1bb6f1291c62fcd24bfc806165d1e292c176/Y2H18034809_20210811114932.jpg/https://filer.eco-counter-tools.com/file/fa/57f590dd2aded726e99b9c6f52c0573180f1d4b8eb84f7c5bea9a11fabf280fa/Y2H18034809_20220802151938.jpg,https://filer.eco-counter-tools.com/file/c2/fab6a7934a6f5d472a1b4e7f6c68552eca77bc5ac6773eb9472e307729be76c2/15302602919700.jpg,https:,https://www.eco-visio.net/Photos/100044493,jpg,2021-12,202100002649,2.0,1,,0.0,2.0,8.0,1.0,B01,197 048,5.0,2021,12,16,00:10,5,2,1,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8513100000","2,3910150000",75,4,0.0,,2.0,4.0,(1),(1),1.0,1.0,1.0,, -1,1.0,-1.0,5.0,,30.0
,boulevardvoltaire,,,,2021-12-16T00:00:00+00:00,,,,100044506-101044506,72 boulevard Voltaire NO-SE,100044506.0,68.0,2018-06-27,https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg,"48.86155,2.37407",Y2H18034807,https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg/https://filer.eco-counter-tools.com/file/55/d7a29510e58acac4f699640a4feacebda0b35d860e63d30c15341e14c000fb55/Y2H18034807_20210811114401.jpg/https://filer.eco-counter-tools.com/file/ce/12724050a91a3a05947ba1716f7ea8811dca93ff2bd79755d6fed58b0165cace/Y2H18034807_20220802151555.jpg/https://filer.eco-counter-tools.com/file/a3/e7f277e6bb3aaf8444d3aa185f8ab4d4c9a2999e143dca0a6b4e1622174b3aa3/15302610479460.jpg/https://filer.eco-counter-tools.com/file/f2/56fe7f8433c9f7e39c7178eee94a36b6e823f827f0964ea25e7db219159250f2/15978328765360.jpg/https://filer.eco-counter-tools.com/file/d9/b166eaaa43bf648746f10c84628d23cc4c365e3c35f4727aceff4950073dfdd9/15718236417710.jpg,https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg,https:,https://www.eco-visio.net/Photos/100044506,jpg,2021-12,202100002649,2.0,1,,0.0,2.0,8.0,1.0,B01,197 048,5.0,2021,12,16,00:10,5,2,1,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8513100000","2,3910150000",75,4,0.0,,2.0,4.0,(1),(1),1.0,1.0,1.0,, -1,1.0,-1.0,5.0,,30.0
,boulevardvoltaire,,,,2021-12-20T13:00:00+00:00,,,,100044493-101044493,67 boulevard Voltaire SE-NO,100044493.0,146.0,2018-06-27,https://filer.eco-counter-tools.com/file/c2/fab6a7934a6f5d472a1b4e7f6c68552eca77bc5ac6773eb9472e307729be76c2/15302602919700.jpg,"48.86149,2.37376",Y2H18034809,https://filer.eco-counter-tools.com/file/c2/fab6a7934a6f5d472a1b4e7f6c68552eca77bc5ac6773eb9472e307729be76c2/15302602919700.jpg/https://filer.eco-counter-tools.com/file/7d/ade19198856cd42d7e8ade9fdaa1f83dc9a9df77d26e62637f405c86012c3e7d/15978320854910.jpg/https://filer.eco-counter-tools.com/file/66/735aaf617596de01fcb9fa7abcbdd64ce1673184d31338359bce5ba4d25bc366/15718231423950.jpg/https://filer.eco-counter-tools.com/file/68/d5e7b51b0132bb5f130ad0366783dc2bb3df77f360556a769d0815cf109a4968/Y2H18034809_20200819121429.jpg/https://filer.eco-counter-tools.com/file/76/f5ac337e501a805dd5a6b639c96e1bb6f1291c62fcd24bfc806165d1e292c176/Y2H18034809_20210811114932.jpg/https://filer.eco-counter-tools.com/file/fa/57f590dd2aded726e99b9c6f52c0573180f1d4b8eb84f7c5bea9a11fabf280fa/Y2H18034809_20220802151938.jpg,https://filer.eco-counter-tools.com/file/c2/fab6a7934a6f5d472a1b4e7f6c68552eca77bc5ac6773eb9472e307729be76c2/15302602919700.jpg,https:,https://www.eco-visio.net/Photos/100044493,jpg,2021-12,202100002046,1.0,1,,0.0,2.0,1.0,1.0,A01,198 135,5.0,2021,12,20,13:45,1,2,4,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8623830000","2,3725280000",75,4,0.0,,4.0,4.0,(1),(1),1.0,1.0,2.0,, -1,1.0,-1.0,5.0,,30.0
,boulevardvoltaire,,,,2021-12-20T13:00:00+00:00,,,,100044506-101044506,72 boulevard Voltaire NO-SE,100044506.0,156.0,2018-06-27,https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg,"48.86155,2.37407",Y2H18034807,https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg/https://filer.eco-counter-tools.com/file/55/d7a29510e58acac4f699640a4feacebda0b35d860e63d30c15341e14c000fb55/Y2H18034807_20210811114401.jpg/https://filer.eco-counter-tools.com/file/ce/12724050a91a3a05947ba1716f7ea8811dca93ff2bd79755d6fed58b0165cace/Y2H18034807_20220802151555.jpg/https://filer.eco-counter-tools.com/file/a3/e7f277e6bb3aaf8444d3aa185f8ab4d4c9a2999e143dca0a6b4e1622174b3aa3/15302610479460.jpg/https://filer.eco-counter-tools.com/file/f2/56fe7f8433c9f7e39c7178eee94a36b6e823f827f0964ea25e7db219159250f2/15978328765360.jpg/https://filer.eco-counter-tools.com/file/d9/b166eaaa43bf648746f10c84628d23cc4c365e3c35f4727aceff4950073dfdd9/15718236417710.jpg,https://filer.eco-counter-tools.com/file/0a/cf198280e637e8e48ba373cca2d92bb531a68659ae95a46d1cab6b85adb2fa0a/Y2H18034807_20200819122746.jpg,https:,https://www.eco-visio.net/Photos/100044506,jpg,2021-12,202100002046,1.0,1,,0.0,2.0,1.0,1.0,A01,198 135,5.0,2021,12,20,13:45,1,2,4,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8623830000","2,3725280000",75,4,0.0,,4.0,4.0,(1),(1),1.0,1.0,2.0,, -1,1.0,-1.0,5.0,,30.0
,boulevarddemagenta,,,,2021-12-08T13:00:00+00:00,,,,100047533-101047533,89 boulevard de Magenta NO-SE,100047533.0,227.0,2018-11-28,https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg,"48.87756,2.35535",Y2H18086309,https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg/https://filer.eco-counter-tools.com/file/19/5c8e475d2cdb5d3c67b8f12550f341656199c6c27ed1458c0bd8c7b0279f2919/Y2H18086309_20210811133208.jpg/https://filer.eco-counter-tools.com/file/af/9972044d188d2cba90f454786f4a0c78780ad6ad46120e922cc7a5a800fe29af/Y2H18086309_20220802135826.jpg,https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg,https:,https://www.eco-visio.net/Photos/100047533,jpg,2021-12,202100004121,2.0,1,,0.0,2.0,8.0,19.0,B01,194 376,5.0,2021,12,8,13:12,1,2,5,1.0,3.0,75110,BOULEVARD DE MAGENTA,,"48,8785310000","2,3540530000",75,4,0.0,,2.0,6.0,(1),(1),2.0,2.0,1.0,, -1,1.0,5.0,5.0,,30.0
,boulevarddemagenta,,,,2021-12-08T13:00:00+00:00,,,,100047536-101047536,102 boulevard de Magenta SE-NO,100047536.0,197.0,2018-11-29,https://filer.eco-counter-tools.com/file/03/e22cb73a54d7e02b34309861a9184b1d57d842bc4c1c74b21b80b80029cfde03/15765760456770.jpg,"48.87769,2.35475",Y2H18086312,https://filer.eco-counter-tools.com/file/03/e22cb73a54d7e02b34309861a9184b1d57d842bc4c1c74b21b80b80029cfde03/15765760456770.jpg/https://filer.eco-counter-tools.com/file/e6/f1722de135aef7122b1bc5f38e53e8f58cd948e19f34eae9de3d8f79f12ba5e6/Y2H18086312_20210811132353.jpg/https://filer.eco-counter-tools.com/file/21/5b84f531a108dc2abe1dc1d2e1231da228d1cfecb0b84a2441bce8da54eeab21/Y2H18086312_20220802134752.jpg,https://filer.eco-counter-tools.com/file/03/e22cb73a54d7e02b34309861a9184b1d57d842bc4c1c74b21b80b80029cfde03/15765760456770.jpg,https:,https://www.eco-visio.net/Photos/100047536,jpg,2021-12,202100004121,2.0,1,,0.0,2.0,8.0,19.0,B01,194 376,5.0,2021,12,8,13:12,1,2,5,1.0,3.0,75110,BOULEVARD DE MAGENTA,,"48,8785310000","2,3540530000",75,4,0.0,,2.0,6.0,(1),(1),2.0,2.0,1.0,, -1,1.0,5.0,5.0,,30.0
,boulevarddemagenta,,,,2021-12-03T10:00:00+00:00,,,,100047533-101047533,89 boulevard de Magenta NO-SE,100047533.0,137.0,2018-11-28,https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg,"48.87756,2.35535",Y2H18086309,https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg/https://filer.eco-counter-tools.com/file/19/5c8e475d2cdb5d3c67b8f12550f341656199c6c27ed1458c0bd8c7b0279f2919/Y2H18086309_20210811133208.jpg/https://filer.eco-counter-tools.com/file/af/9972044d188d2cba90f454786f4a0c78780ad6ad46120e922cc7a5a800fe29af/Y2H18086309_20220802135826.jpg,https://filer.eco-counter-tools.com/file/48/4b322b77bb102481b9b6b9e0abfaa448eb9cd56d2705dd36305f48325d561548/15434006878980.jpg,https:,https://www.eco-visio.net/Photos/100047533,jpg,2021-12,202100004925,2.0,1,,1.0,0.0,1.0,1.0,B01,192 988,5.0,2021,12,3,10:45,1,2,3,3.0,2.0,75110,BOULEVARD DE MAGENTA,,"48,8718400000","2,3600260000",75,4,0.0,,1.0,4.0,(1),(1),1.0,1.0,1.0,, -1,2.0,0.0,5.0,,30.0
,boulevarddemagenta,,,,2021-12-03T10:00:00+00:00,,,,100047536-101047536,102 boulevard de Magenta SE-NO,100047536.0,104.0,2018-11-29,https://filer.eco-counter-tools.com/file/03/e22cb73a54d7e02b34309861a9184b1d57d842bc4c1c74b21b80b80029cfde03/15765760456770.jpg,"48.87769,2.35475",Y2H18086312,https://filer.eco-counter-tools.com/file/03/e22cb73a54d7e02b34309861a9184b1d57d842bc4c1c74b21b80b80029cfde03/15765760456770.jpg/https://filer.eco-counter-tools.com/file/e6/f1722de135aef7122b1bc5f38e53e8f58cd948e19f34eae9de3d8f79f12ba5e6/Y2H18086312_20210811132353.jpg/https://filer.eco-counter-tools.com/file/21/5b84f531a108dc2abe1dc1d2e1231da228d1cfecb0b84a2441bce8da54eeab21/Y2H18086312_20220802134752.jpg,https://filer.eco-counter-tools.com/file/03/e22cb73a54d7e02b34309861a9184b1d57d842bc4c1c74b21b80b80029cfde03/15765760456770.jpg,https:,https://www.eco-visio.net/Photos/100047536,jpg,2021-12,202100004925,2.0,1,,1.0,0.0,1.0,1.0,B01,192 988,5.0,2021,12,3,10:45,1,2,3,3.0,2.0,75110,BOULEVARD DE MAGENTA,,"48,8718400000","2,3600260000",75,4,0.0,,1.0,4.0,(1),(1),1.0,1.0,1.0,, -1,2.0,0.0,5.0,,30.0
,boulevardsaintgermain,,,,2021-12-08T12:00:00+00:00,,,,100050132-101050132,243 boulevard Saint Germain NO-SE,100050132.0,79.0,2018-12-13,https://filer.eco-counter-tools.com/file/f9/3f9330458af2a298f662a331c4a2ec104d9a2d6859676d4ffd00947a858b89f9/15765763964200.jpg,"48.86179,2.32014",Y2H18034810,https://filer.eco-counter-tools.com/file/f9/3f9330458af2a298f662a331c4a2ec104d9a2d6859676d4ffd00947a858b89f9/15765763964200.jpg/https://filer.eco-counter-tools.com/file/6a/3906b4054e3b35c857a89a5f411199a51d5b6041b247a4e9d628fca80268626a/Y2H18034810_20210810192535.jpg,https://filer.eco-counter-tools.com/file/f9/3f9330458af2a298f662a331c4a2ec104d9a2d6859676d4ffd00947a858b89f9/15765763964200.jpg,https:,https://www.eco-visio.net/Photos/100050132,jpg,2021-12,202100004123,1.0,1,,0.0,2.0,2.0,1.0,A01,194 371,5.0,2021,12,8,12:50,1,2,2,1.0,3.0,75107,BOULEVARD SAINT GERMAIN,,"48,8585020000","2,3231150000",75,4,0.0,,2.0,4.0,(1),(1),3.0,1.0,1.0,, -1,1.0,0.0,6.0,,30.0
,avenuedeschampselysees,,,,2021-12-22T18:00:00+00:00,,,,100056038-101056038,44 avenue des Champs Elysées SE-NO,100056038.0,72.0,2019-10-30,https://filer.eco-counter-tools.com/file/c1/c8f68c0bbec73d4fd7b0eaa8d23145541a6eb88080702028ee0c4133f6d4d8c1/15724491524180.jpg,"48.86999,2.30743",Y2H19070341,https://filer.eco-counter-tools.com/file/c1/c8f68c0bbec73d4fd7b0eaa8d23145541a6eb88080702028ee0c4133f6d4d8c1/15724491524180.jpg/https://filer.eco-counter-tools.com/file/a2/1b49ad9585537d0bfea08557e7701197df5aee498f0df73cf65ba3bba02946a2/Y2H19070341_20210811093328.jpg/https://filer.eco-counter-tools.com/file/5f/d4d5c5bd654cf989713a8f698321451b3dece54ebf77786882cf5b2ea879345f/Y2H19070341_20220802124458.jpg,https://filer.eco-counter-tools.com/file/c1/c8f68c0bbec73d4fd7b0eaa8d23145541a6eb88080702028ee0c4133f6d4d8c1/15724491524180.jpg,https:,https://www.eco-visio.net/Photos/100056038,jpg,2021-12,202100001749,1.0,1,,0.0,1.0,1.0,1.0,A01,198 661,5.0,2021,12,22,18:15,5,2,1,1.0,6.0,75108,AVENUE DES CHAMPS ELYSEES,,"48,8709430000","2,3039810000",75,4,0.0,,2.0,8.0,(1),(1),1.0,1.0,1.0,, -1,1.0,-1.0,5.0,,30.0
,avenuedeschampselysees,,,,2021-12-22T18:00:00+00:00,,,,100056042-101056042,33 avenue des Champs Elysées NO-SE,100056042.0,132.0,2019-10-30,https://filer.eco-counter-tools.com/file/58/0dd4b714bd926802d8e62cbf997d4e50209e9da17720389cfae79d269e545158/Y2H19070354_20220802125154.jpg,"48.86999,2.30722",Y2H19070354,https://filer.eco-counter-tools.com/file/58/0dd4b714bd926802d8e62cbf997d4e50209e9da17720389cfae79d269e545158/Y2H19070354_20220802125154.jpg/https://filer.eco-counter-tools.com/file/95/fc9fa5b07a6b070b18d330ebf89f7a15a0c6bb5671f787b021f369ec01caab95/Y2H19070354_20220802125206.jpg/https://filer.eco-counter-tools.com/file/52/3cd053f75764e9800c3f470120c6f9e5ca84efae5393f5a79b51b0e282f1e252/15724494591310.jpg/https://filer.eco-counter-tools.com/file/47/d9213da665b6ea82d978f0b78ecf8bbe62b5a009bbf599be05afa68439adbf47/Y2H19070354_20210811094040.jpg,https://filer.eco-counter-tools.com/file/58/0dd4b714bd926802d8e62cbf997d4e50209e9da17720389cfae79d269e545158/Y2H19070354_20220802125154.jpg,https:,https://www.eco-visio.net/Photos/100056042,jpg,2021-12,202100001749,1.0,1,,0.0,1.0,1.0,1.0,A01,198 661,5.0,2021,12,22,18:15,5,2,1,1.0,6.0,75108,AVENUE DES CHAMPS ELYSEES,,"48,8709430000","2,3039810000",75,4,0.0,,2.0,8.0,(1),(1),1.0,1.0,1.0,, -1,1.0,-1.0,5.0,,30.0
,quaidelatournelle,,,,2021-12-01T11:00:00+00:00,,,,100056336-106056336,27 quai de la Tournelle NO-SE,100056336.0,72.0,2019-11-14,https://filer.eco-counter-tools.com/file/2c/fff4646e401ec8bc0a8ad926fa18aa5898e333e683f8d31b82b4092053a36c2c/Y2H19070383_20220803104828.jpg,"48.85013,2.35423",Y2H19070383,https://filer.eco-counter-tools.com/file/2c/fff4646e401ec8bc0a8ad926fa18aa5898e333e683f8d31b82b4092053a36c2c/Y2H19070383_20220803104828.jpg/https://filer.eco-counter-tools.com/file/e0/a60a0302edda30b1121eae6bdcb811c738aa7390bc6e19735c651eba12febae0/15736425280750.jpg/https://filer.eco-counter-tools.com/file/2d/9fb9cbac1a27c6f0bd8fc7cadd113c2193a80dad5ef6839ed5961ea81220ab2d/Y2H19070383_20210810181445.jpg,https://filer.eco-counter-tools.com/file/2c/fff4646e401ec8bc0a8ad926fa18aa5898e333e683f8d31b82b4092053a36c2c/Y2H19070383_20220803104828.jpg,https:,https://www.eco-visio.net/Photos/100056336,jpg,2021-12,202100005373,1.0,1,,0.0,2.0,8.0,1.0,A01,192 183,5.0,2021,12,1,11:00,1,2,2,3.0,3.0,75105,QUAI DE LA TOURNELLE,,"48,8511310000","2,3513150000",75,4,0.0,,2.0,4.0,(1),(1),1.0,1.0,1.0,, -1,2.0,0.0,5.0,,30.0
,quaidelatournelle,,,,2021-12-01T11:00:00+00:00,,,,100056336-105056336,27 quai de la Tournelle SE-NO,100056336.0,147.0,2019-11-14,https://filer.eco-counter-tools.com/file/2c/fff4646e401ec8bc0a8ad926fa18aa5898e333e683f8d31b82b4092053a36c2c/Y2H19070383_20220803104828.jpg,"48.85013,2.35423",Y2H19070383,https://filer.eco-counter-tools.com/file/2c/fff4646e401ec8bc0a8ad926fa18aa5898e333e683f8d31b82b4092053a36c2c/Y2H19070383_20220803104828.jpg/https://filer.eco-counter-tools.com/file/e0/a60a0302edda30b1121eae6bdcb811c738aa7390bc6e19735c651eba12febae0/15736425280750.jpg/https://filer.eco-counter-tools.com/file/2d/9fb9cbac1a27c6f0bd8fc7cadd113c2193a80dad5ef6839ed5961ea81220ab2d/Y2H19070383_20210810181445.jpg,https://filer.eco-counter-tools.com/file/2c/fff4646e401ec8bc0a8ad926fa18aa5898e333e683f8d31b82b4092053a36c2c/Y2H19070383_20220803104828.jpg,https:,https://www.eco-visio.net/Photos/100056336,jpg,2021-12,202100005373,1.0,1,,0.0,2.0,8.0,1.0,A01,192 183,5.0,2021,12,1,11:00,1,2,2,3.0,3.0,75105,QUAI DE LA TOURNELLE,,"48,8511310000","2,3513150000",75,4,0.0,,2.0,4.0,(1),(1),1.0,1.0,1.0,, -1,2.0,0.0,5.0,,30.0
,ruedevaugirard,,,,2021-12-13T08:00:00+00:00,,,,300014702-353245972,254 rue de Vaugirard NE-SO,300014702.0,101.0,2020-11-29,https://filer.eco-counter-tools.com/file/ea/42ec33606878b15fa6adead8f1f17ad6fbcc1544db9ac98c45bbdfa3e69a8aea/Y2H20114504_20201209121107.jpg,"48.83985,2.30202",Y2H20114504,https://filer.eco-counter-tools.com/file/ea/42ec33606878b15fa6adead8f1f17ad6fbcc1544db9ac98c45bbdfa3e69a8aea/Y2H20114504_20201209121107.jpg/https://filer.eco-counter-tools.com/file/b4/be9fd8e3c7ba1367d5c186cc7f5c357f29eaffb3ed0746d08d253881fa910eb4/Y2H20114504_20220707105416.jpg/https://filer.eco-counter-tools.com/file/45/1cecfc3f703b622f83c347c4600acf78fe99038bb3d3f114a5ef48799f95d045/Y2H20114504_20220803114114.jpg,https://filer.eco-counter-tools.com/file/ea/42ec33606878b15fa6adead8f1f17ad6fbcc1544db9ac98c45bbdfa3e69a8aea/Y2H20114504_20201209121107.jpg,https:,https://www.eco-visio.net/Photos/300014702,jpg,2021-12,202100003160,2.0,1,,0.0,1.0,0.0,21.0,A01,196 115,5.0,2021,12,13,08:20,1,2,1,1.0,6.0,75115,RUE DE VAUGIRARD,,"48,8365460000","2,2950000000",75,4,0.0,,1.0,2.0,(1),(1),0.0,1.0,1.0,, -1,1.0,0.0,1.0,,30.0
,ruedevaugirard,,,,2021-12-13T08:00:00+00:00,,,,300014702-353245971,254 rue de Vaugirard SO-NE,300014702.0,221.0,2020-11-29,https://filer.eco-counter-tools.com/file/ea/42ec33606878b15fa6adead8f1f17ad6fbcc1544db9ac98c45bbdfa3e69a8aea/Y2H20114504_20201209121107.jpg,"48.83985,2.30202",Y2H20114504,https://filer.eco-counter-tools.com/file/ea/42ec33606878b15fa6adead8f1f17ad6fbcc1544db9ac98c45bbdfa3e69a8aea/Y2H20114504_20201209121107.jpg/https://filer.eco-counter-tools.com/file/b4/be9fd8e3c7ba1367d5c186cc7f5c357f29eaffb3ed0746d08d253881fa910eb4/Y2H20114504_20220707105416.jpg/https://filer.eco-counter-tools.com/file/45/1cecfc3f703b622f83c347c4600acf78fe99038bb3d3f114a5ef48799f95d045/Y2H20114504_20220803114114.jpg,https://filer.eco-counter-tools.com/file/ea/42ec33606878b15fa6adead8f1f17ad6fbcc1544db9ac98c45bbdfa3e69a8aea/Y2H20114504_20201209121107.jpg,https:,https://www.eco-visio.net/Photos/300014702,jpg,2021-12,202100003160,2.0,1,,0.0,1.0,0.0,21.0,A01,196 115,5.0,2021,12,13,08:20,1,2,1,1.0,6.0,75115,RUE DE VAUGIRARD,,"48,8365460000","2,2950000000",75,4,0.0,,1.0,2.0,(1),(1),0.0,1.0,1.0,, -1,1.0,0.0,1.0,,30.0
,ruesaintjacques,,,,2021-12-17T12:00:00+00:00,,,,300021312-353293580,30 rue Saint Jacques N-S,300021312.0,192.0,2021-11-30,https://filer.eco-counter-tools.com/file/20/c9d85cea2f07f6304a7df7042b0fb4878436ba98c48d76795f5c47df9ec45c20/Y2H21110998_20211129170204.jpg,"48.851131,2.345678",Y2H21110998,https://filer.eco-counter-tools.com/file/20/c9d85cea2f07f6304a7df7042b0fb4878436ba98c48d76795f5c47df9ec45c20/Y2H21110998_20211129170204.jpg,https://filer.eco-counter-tools.com/file/20/c9d85cea2f07f6304a7df7042b0fb4878436ba98c48d76795f5c47df9ec45c20/Y2H21110998_20211129170204.jpg,https:,https://www.eco-visio.net/Photos/300021312,jpg,2021-12,202100002379,0.0,1,,0.0,2.0,1.0,1.0,B01,197 529,5.0,2021,12,17,12:40,1,2,2,1.0,1.0,91223,SAINT JACQUES (RUE),,"48,4332800000","2,1552400000",91,4,0.0,,2.0,2.0,0,0,0.0,1.0,1.0,, -1,1.0,5.0,1.0,,50.0
